-3.09	-0.226	0.0071	-0.0355
-2.06	-0.1	0.007	-0.0384
-1.04	0.021	0.0069	-0.0414
-0.01	0.143	0.007	-0.0443
1.02	0.264	0.0072	-0.0472
2.05	0.386	0.0072	-0.05
3.08	0.507	0.0071	-0.0525
4.1	0.627	0.0069	-0.0549
5.13	0.742	0.0071	-0.0558
6.16	0.82	0.0096	-0.0526
7.17	0.892	0.0129	-0.049
8.2	0.966	0.0158	-0.0463
9.22	1.013	0.0213	-0.0426
10.21	1.004	0.0346	-0.0464
11.21	0.975	0.0499	-0.0387
12.22	1.008	0.0847	-0.0388
13.24	1.052	0.0769	-0.0421
14.24	1.081	0.0899	-0.0438
15.24	1.097	0.1062	-0.0413
16.24	1.061	0.1616	-0.0398
17.23	0.999	0.1851	-0.0443
